pre_date,pre_ch,current_date,project_id,interval
2022-06-07 09:00:00,275.4857,2022-08-18 20:30:50,0,1H
2022-06-07 10:00:00,565.0942,2022-08-18 20:30:50,0,1H
2022-06-07 11:00:00,525.7644,2022-08-18 20:30:50,0,1H
2022-06-07 12:00:00,282.25607,2022-08-18 20:30:50,0,1H
2022-06-07 13:00:00,284.9499,2022-08-18 20:30:50,0,1H
2022-06-07 14:00:00,290.34183,2022-08-18 20:30:50,0,1H
2022-06-07 15:00:00,320.3365,2022-08-18 20:30:50,0,1H
2022-06-07 16:00:00,294.84265,2022-08-18 20:30:50,0,1H
2022-06-07 17:00:00,296.1074,2022-08-18 20:30:50,0,1H
2022-06-08 07:00:00,284.8714,2022-08-18 20:30:50,0,1H
2022-06-08 08:00:00,281.08057,2022-08-18 20:30:50,0,1H
2022-06-08 09:00:00,500.6112,2022-08-18 20:30:50,0,1H
2022-06-08 10:00:00,272.71768,2022-08-18 20:30:50,0,1H
2022-06-08 11:00:00,277.11176,2022-08-18 20:30:50,0,1H
2022-06-08 12:00:00,514.30554,2022-08-18 20:30:50,0,1H
2022-06-08 13:00:00,279.34726,2022-08-18 20:30:50,0,1H
2022-06-08 14:00:00,273.59045,2022-08-18 20:30:50,0,1H
2022-06-08 15:00:00,288.0097,2022-08-18 20:30:50,0,1H
2022-06-08 16:00:00,524.0644,2022-08-18 20:30:50,0,1H
2022-06-09 07:00:00,280.81992,2022-08-18 20:30:50,0,1H
2022-06-09 08:00:00,280.81992,2022-08-18 20:30:50,0,1H
2022-06-09 09:00:00,290.1906,2022-08-18 20:30:50,0,1H
2022-06-09 10:00:00,280.66925,2022-08-18 20:30:50,0,1H
2022-06-09 11:00:00,278.28925,2022-08-18 20:30:50,0,1H
2022-06-09 12:00:00,520.6482,2022-08-18 20:30:50,0,1H
2022-06-09 13:00:00,280.6974,2022-08-18 20:30:50,0,1H
2022-06-09 14:00:00,280.2364,2022-08-18 20:30:50,0,1H
2022-06-09 15:00:00,297.83438,2022-08-18 20:30:50,0,1H
2022-06-09 16:00:00,501.47934,2022-08-18 20:30:50,0,1H
2022-06-10 07:00:00,549.2548,2022-08-18 20:30:50,0,1H
2022-06-10 08:00:00,282.22964,2022-08-18 20:30:50,0,1H
2022-06-10 09:00:00,292.72696,2022-08-18 20:30:50,0,1H
2022-06-10 10:00:00,346.44992,2022-08-18 20:30:50,0,1H
2022-06-10 11:00:00,480.74115,2022-08-18 20:30:50,0,1H
2022-06-10 12:00:00,310.88657,2022-08-18 20:30:50,0,1H
2022-06-10 13:00:00,525.0578,2022-08-18 20:30:50,0,1H
2022-06-10 14:00:00,304.53958,2022-08-18 20:30:50,0,1H
2022-06-10 15:00:00,544.2722,2022-08-18 20:30:50,0,1H
2022-06-10 16:00:00,278.83835,2022-08-18 20:30:50,0,1H
2022-06-10 17:00:00,294.76974,2022-08-18 20:30:50,0,1H
2022-06-13 07:00:00,279.11304,2022-08-18 20:30:50,0,1H
2022-06-13 08:00:00,267.12274,2022-08-18 20:30:50,0,1H
2022-06-13 09:00:00,272.1383,2022-08-18 20:30:50,0,1H
2022-06-13 10:00:00,278.03326,2022-08-18 20:30:50,0,1H
2022-06-13 11:00:00,284.90195,2022-08-18 20:30:50,0,1H
2022-06-13 12:00:00,279.8365,2022-08-18 20:30:50,0,1H
2022-06-13 13:00:00,284.90195,2022-08-18 20:30:50,0,1H
2022-06-13 14:00:00,281.3427,2022-08-18 20:30:50,0,1H
